name,price,year,total_km,location,engine_type,transmission
2014 BMW 7 Series Sedan 730Li M Sport,375000000,2014,,,,Otomatis
2013 Audi A6 2.0L TFSI,259000000,2013,58000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2012 BMW 5 Series Sedan 528i F10 LUXURY,299000000,2012,58000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2018 BMW 5 Series Sedan 530i Luxury,705000000,2018,,,,Otomatis
2014 BMW 3 Series Sedan  328i LUXURY,348000000,2014,80000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2013 BMW 3 Series Sedan  328i LUXURY,325000000,2013,83000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2011 BMW 5 Series Sedan 535i,438000000,2011,,,,
2018 Mercedes Benz E-Class 300 AMG Line,625000000,2018,21000,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,Otomatis
2024 MG 5 GT Magnify,307000000,2024,8353,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2022 MG 5 GT Magnify,270000000,2022,33792,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2011 BMW 5 Series Sedan 528i CKD AT,225000000,2011,,,,Otomatis
2022 MG 5 GT Ignite,270000000,2022,33000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2024 BYD Seal Performance AWD,530000000,2024,,,,Otomatis
2019 BMW 7 Series Sedan 730Li M Sport,940000000,2019,,,,Otomatis
2025 Honda Civic RS eHEV,638000000,2025,1027,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,CVT
2024 MG 5 GT Ignite,310000000,2024,,,,
2023 Mercedes Benz A-Class Sedan A200 Progressive Line,650000000,2023,,,,Otomatis
2022 Mazda 2 Sedan 1.5L AT,235000000,2022,19850,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,Otomatis
