name,price,year,total_km,location,engine_type,transmission
2017 Mazda CX-3 Touring,245000000,2017,60000,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,Otomatis
2016 Honda HRV E CVT,193000000,2016,,,,CVT
2013 BMW X1 SDRIVE 18i EXECUTIVE,215000000,2013,40000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2024 Honda WR-V 1.5L RS,279000000,2024,3000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2023 Honda WR-V 1.5L E CVT,220000000,2023,,,,CVT
2022 Mercedes Benz GLA 200 AMG Line,695000000,2022,,,,Otomatis
2018 Honda HRV E CVT,220000000,2018,,,,CVT
2023 Honda WR-V 1.5L RS,252000000,2023,27000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2023 Hyundai Creta Prime IVT,315000000,2023,15000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,
2019 Chevrolet Trax 1.4 Premier AT,187000000,2019,52000,"Jakarta Pusat
5 Seat
1364 Cc
Panggilan Gratis",Bensin,Otomatis
2017 Chevrolet Trax 1.4T LTZ AT,180000000,2017,80000,"Jakarta Pusat
5 Seat
1364 Cc
Panggilan Gratis",Bensin,Otomatis
2017 Honda HRV E CVT,215000000,2017,,,,CVT
2017 BMW X5 xDrive35i xLine,785000000,2017,37000,"Jakarta Pusat
5 Seat
2979 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Honda WR-V 1.5L RS With Honda Sensing,268000000,2022,20000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2022 Toyota Corolla Cross HEV,435000000,2022,,,,
2020 Honda HRV E CVT,253000000,2020,60000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2019 Chevrolet Trax 1.4 LT AT,183000000,2019,55000,"Jakarta Pusat
5 Seat
1364 Cc
Panggilan Gratis",Bensin,Otomatis
2018 Chevrolet Trax 1.4 Premier AT,185000000,2018,,,,Otomatis
2017 Mazda CX 3 2.0 Touring Skyactive AT,248000000,2017,40000,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,Otomatis
2016 Honda HRV 1.5L SE CVT,212000000,2016,,,,CVT
2025 CHERY Tiggo Cross Premium,245000000,2025,32000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2018 Mercedes Benz GLC-Class 200 Exclusive Line,750000000,2018,80000,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Hyundai Creta Prime IVT,290000000,2022,27000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,
2022 Mercedes Benz GLC-Class 200 AMG Line,800000000,2022,,,,Otomatis
2022 BMW X3 xDrive30i M Sport,920000000,2022,22000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Lexus UX 300e,695000000,2022,17213,"Jakarta Pusat
5 Seat
Panggilan Gratis",,Otomatis
2019 Mazda CX-3 Touring,230000000,2019,69000,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,Otomatis
2024 Honda HRV 1.5L Turbo RS,455000000,2024,2000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2022 BMW X3 sDrive20i xLine,840000000,2022,25000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Hyundai Creta Trend IVT,225000000,2022,69000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,
2019 BMW X3 sDrive20i xLine,540000000,2019,,,,Otomatis
2024 Honda HRV 1.5L SE CVT,375000000,2024,3981,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2024 Hyundai Creta Prime IVT,340000000,2024,15000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,
2020 Mercedes Benz GLC-Class 200 AMG Line,715000000,2020,,,,Otomatis
2021 Mazda CX 3 2.0 Touring Skyactive AT,280000000,2021,37000,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,Otomatis
2020 Mercedes Benz GLA 200,520000000,2020,,,,
2020 Mazda CX 3 2.0 Touring Skyactive AT,290000000,2020,48000,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,Otomatis
2017 Mazda CX 3 Grand Touring,265000000,2017,52000,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,Otomatis
2008 Toyota Harrier 2.4L AT,140000000,2008,12345,"Jakarta Pusat
5 Seat
2362 Cc
Panggilan Gratis",Bensin,Otomatis
2008 Toyota Harrier 2.4 G L-Premium,150000000,2008,,,,Otomatis
2020 Mazda CX-3 2.0 GT,255000000,2020,,,,
2017 BMW X5 XDRIVE 35i AT,490000000,2017,,,,Otomatis
2012 Ford Focus Sedan Titanium 2.0L AT,135000000,2012,80000,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,Otomatis
2021 Mercedes Benz GLC-Class 200 AMG Line,714000000,2021,,,,Otomatis
2019 Lexus UX 250h,585000000,2019,22000,"Jakarta Pusat
5 Seat
1987 Cc
Panggilan Gratis",Bensin,CVT
2023 Hyundai Creta Trend IVT,260000000,2023,27000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,
2023 Kia Sonet Premiere,265000000,2023,36000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,
2023 Honda HRV 1.5L Turbo RS,430000000,2023,,,,
2011 Toyota Harrier 2.4 G L-Premium,195000000,2011,161000,"Jakarta Pusat
5 Seat
2362 Cc
Panggilan Gratis",Bensin,Otomatis
2025 Honda HRV 1.5L SE CVT,359000000,2025,5000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2021 Kia Sonet Premiere,253000000,2021,48000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,
2021 Toyota Corolla Cross HEV,355000000,2021,111000,"Jakarta Pusat
5 Seat
1798 Cc
Panggilan Gratis",Bensin,CVT
2021 Mercedes Benz GLA 200 AMG Line,600000000,2021,,,,Otomatis
2018 Lexus NX 300 F-Sport,565000000,2018,52345,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Honda HRV E CVT,279000000,2022,,,,CVT
2021 BMW X3 sDrive20i xLine,640000000,2021,32234,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Audi Q7 3.0 TFSI Quattro,1200000000,2022,,,,Otomatis
2018 Mazda CX 3 2.0 Touring Skyactive AT,252000000,2018,60000,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,Otomatis
2018 BMW X2 sDrive18i M Sport X,555000000,2018,20000,"Jakarta Pusat
5 Seat
1499 Cc
Panggilan Gratis",Bensin,
2017 BMW X1 sDrive18i xLine,365000000,2017,60000,"Jakarta Pusat
5 Seat
1499 Cc
Panggilan Gratis",Bensin,
2016 Kia Sportage GT Ultimate,255000000,2016,,,,Otomatis
2016 Mercedes Benz GLA 200,390000000,2016,61000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2013 Ford Focus Sedan Titanium 2.0L AT,144000000,2013,24000,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,Otomatis
2021 Toyota Corolla Cross CROSS 1.8 SV Bensin AT,394000000,2021,43000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2011 Nissan Murano 3.5L AT,184000000,2011,60000,"Jakarta Pusat
5 Seat
3499 Cc
Panggilan Gratis",Bensin,CVT
2021 Honda HRV E CVT,220000000,2021,28396,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2019 BMW X1 sDrive18i xLine,435000000,2019,,,,
2019 Lexus UX 200 F Sport,475000000,2019,24473,"Jakarta Pusat
5 Seat
1987 Cc
Panggilan Gratis",Bensin,CVT
2025 Citroen C3 1.2L MT,158000000,2025,,,,Manual
2025 Honda WR-V 1.5L E CVT,265000000,2025,16599,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2022 Honda WR-V 1.5L E CVT,250000000,2022,,,,CVT
2016 Chevrolet Trax 1.4T LTZ AT,137000000,2016,72000,"Jakarta Pusat
5 Seat
1364 Cc
Panggilan Gratis",Bensin,Otomatis
2014 BMW X1 SDRIVE 18i EXECUTIVE,230000000,2014,76000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2019 Lexus NX 300 F-Sport,750000000,2019,,,,Otomatis
2023 CHERY 5 Z,225000000,2023,,,,
2019 Lexus UX 200 Luxury,535000000,2019,,,,
2010 Nissan Murano 2.5L AT,145000000,2010,126000,"Jakarta Pusat
5 Seat
2498 Cc
Panggilan Gratis",Bensin,CVT
2023 Honda HRV E CVT,340000000,2023,12000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2016 BMW X5 XDRIVE 35i AT,415000000,2016,,,,Otomatis
2023 Lexus RZ 450e Luxury,1890000000,2023,48000,"Jakarta Pusat
5 Seat
Panggilan Gratis",,Otomatis
2001 BMW X5 3.0L AT BENSIN,110000000,2001,105000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2023 Honda HRV SE 1.5L AT,378000000,2023,9462,Yogyakarta,Bensin,Otomatis
2016 BMW X1 sDrive18i xLine,225000000,2016,40000,"Tangerang Selatan
5 Seat
1499 Cc
Lihat Detail Penjual",Bensin,
2018 Mercedes Benz GLC-Class 200 AMG Line,615000000,2018,,,,Otomatis
2023 Honda WR-V RS With Honda Sensing,235000000,2023,9000,"Tangerang Selatan
5 Seat
1498 Cc
Lihat Detail Penjual",Bensin,CVT
2020 BMW X3 sDrive20i xLine,599000000,2020,28000,"Tangerang Selatan
5 Seat
1998 Cc
Lihat Detail Penjual",Bensin,Otomatis
2018 BMW X1 sDrive18i xLine,305000000,2018,,,,
2011 BMW X5 XDRIVE 30i XLINE,199000000,2011,60000,"Tangerang Selatan
Lihat Detail Penjual",Bensin,
2024 Honda HRV SE 1.5L AT,385000000,2024,,,,Otomatis
2016 Honda HRV 1.5L E CVT,199000000,2016,80000,Palembang,Bensin,CVT
2014 Nissan Juke RX AT,140000000,2014,115236,,Bensin,Otomatis
2024 Honda WR-V 1.5L E CVT,245000000,2024,7288,,Bensin,CVT
2023 Daihatsu Terios R A/T,240000000,2023,,,,Otomatis
2019 Honda HRV 1.5L E CVT Special Edition,250000000,2019,,,,CVT
2017 Honda HRV 1.8L E CVT,285000000,2017,67531,"Jakarta Utara
5 Seat
1799 Cc
Ventilasi Ac Belakang
Engine Start Stop Button
Power Outlet
Automatic Climate Control
Jok Dilapis Kulit
Cruise Control
Lihat Detail Penjual",Bensin,CVT
2016 Honda CR-V 2.0L MT,232000000,2016,75000,Sidoarjo,Bensin,Manual
2018 Honda HRV 1.5L E CVT,235000000,2018,,,,CVT
2012 Honda CR-V 2.0L AT,179000000,2012,95000,,Bensin,Otomatis
